,time,low,high,open,close,volume,time_cleaned,vwap
0,1618272000,59799.01,60444.06,59836.88,60428.77,644.99503264,2021-04-13 00:00:00,60223.946666666656
1,1618275600,60180.18,60744.0,60428.77,60617.24,544.66882956,2021-04-13 01:00:00,60356.65449444273
2,1618279200,60523.73,60959.94,60617.24,60790.0,834.91925375,2021-04-13 02:00:00,60522.12028650565
3,1618282800,60326.41,61055.0,60789.99,60350.0,1307.55632285,2021-04-13 03:00:00,60543.70912366601
4,1618286400,60282.61,60611.34,60350.0,60571.22,561.56474605,2021-04-13 04:00:00,60535.73079039814
5,1618290000,60450.85,60784.61,60571.21,60661.83,220.8356189,2021-04-13 05:00:00,60540.92083128196
6,1618293600,60416.24,61344.99,60661.84,60707.1,481.9162899,2021-04-13 06:00:00,60570.47205851176
7,1618297200,60579.46,61169.0,60707.1,61043.27,355.60876704,2021-04-13 07:00:00,60596.33124237018
8,1618300800,61038.32,62750.0,61044.75,62639.34,1604.41501882,2021-04-13 08:00:00,60974.70225711627
9,1618304400,62245.35,63199.99,62639.34,62870.28,831.74286498,2021-04-13 09:00:00,61177.022120970774
10,1618308000,62429.94,63059.48,62876.93,62759.39,758.9402265,2021-04-13 10:00:00,61323.51423678456
11,1618311600,62521.0,63078.0,62750.77,62955.46,656.42184577,2021-04-13 11:00:00,61437.44447129532
12,1618315200,62782.97,63273.12,62955.81,63055.56,1061.90793838,2021-04-13 12:00:00,61609.64172854629
13,1618318800,62541.02,63087.08,63055.55,62806.54,885.56630601,2021-04-13 13:00:00,61708.64281394379
14,1618322400,62618.61,63075.58,62808.18,62981.81,733.46164256,2021-04-13 14:00:00,61784.21820170373
15,1618326000,62808.0,63699.99,62981.81,63400.01,1001.38486004,2021-04-13 15:00:00,61905.99962122523
16,1618329600,63025.0,63774.39,63412.31,63150.0,1123.26359992,2021-04-13 16:00:00,62022.41543822077
17,1618333200,63010.01,63388.88,63150.0,63373.71,712.59575341,2021-04-13 17:00:00,62083.87013826045
18,1618336800,62625.0,63595.35,63366.82,62629.21,1146.19710358,2021-04-13 18:00:00,62148.04067531089
19,1618340400,62563.0,63100.0,62629.2,63045.79,793.24325808,2021-04-13 19:00:00,62184.865182298025
20,1618344000,62890.1,63272.73,63034.05,63199.2,457.20609313,2021-04-13 20:00:00,62210.45724981913
21,1618347600,62877.61,63305.54,63199.19,63129.47,379.81302455,2021-04-13 21:00:00,62230.31063700907
22,1618351200,62863.5,63273.78,63129.47,63248.96,360.20103482,2021-04-13 22:00:00,62248.84710748729
23,1618354800,63200.41,63666.82,63248.96,63588.22,439.34059964,2021-04-13 23:00:00,62279.19492034818
24,1618358400,63252.01,63847.67,63588.22,63346.17,689.84084395,2021-04-14 00:00:00,62323.83270426514
